step,timestamp,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate
32,2026-03-18T09:43:48.649181,0.002304,0.236791,-30.672273,0.000127,0.0,0.0003
64,2026-03-18T09:43:49.015383,-0.000497,0.0339,-30.67274,1.1e-05,0.0,0.00015
