episode,timestamp,total_reward,portfolio_value,total_return_pct,n_trades,total_cost,steps
1,2026-03-18T09:43:48.632837,-0.0008,1016476407.22,1.6476,128,10790509.78,8
2,2026-03-18T09:43:48.633391,-0.0008,1017320696.92,1.7321,128,11348802.08,8
3,2026-03-18T09:43:48.633640,-0.0008,946413470.12,-5.3587,128,10316681.88,8
4,2026-03-18T09:43:48.648788,-0.0008,927973333.52,-7.2027,128,11967699.48,8
5,2026-03-18T09:43:49.009961,-0.0008,1062677537.05,6.2678,128,10143736.95,8
6,2026-03-18T09:43:49.014224,-0.0008,1009629502.97,0.963,128,9890583.03,8
7,2026-03-18T09:43:49.014913,-0.0008,995382254.5,-0.4618,128,11630301.5,8
8,2026-03-18T09:43:49.015130,-0.0008,1067348042.6,6.7348,128,11654347.4,8
