time,open,high,low,close,volume,symbol,close_norm,return_1d,return_5d,macd,rsi,adx,volume_norm
2018-06-06,22.02,22.02,18.88,18.88,92700.0,BCM,-1.3827133780114413,-2.067302968615514,-1.427570918961361,-0.8229290670282172,-0.7982060119270458,-0.9457442143681376,0.4711294974980227
2018-06-07,22.38,22.38,17.98,17.98,52000.0,BCM,-1.8549988040640337,-0.9936310256969159,-1.8794798482562054,-1.1807783240317276,-0.5359058930645499,-0.8329756827333965,-0.016367595296360487
2018-06-08,20.68,20.68,17.98,18.88,9800.0,BCM,-1.401742947543106,0.9791853662170673,-0.8927284053202966,-1.1324833417368814,-0.2874341382322253,-0.7218719649050926,-0.5125765731874222
2018-06-11,18.88,18.88,18.43,18.43,700.0,BCM,-1.7144812640395952,-0.5444572714311131,-0.7593668402340926,-1.1377989298204927,-0.4151188957306137,-0.6110911653609993,-0.6168947088938338
2018-06-12,19.33,19.33,17.98,17.98,2100.0,BCM,-2.0015295529650023,-0.5387102982647727,-1.7666690148275612,-1.1658902655903867,-1.5295884884519086,-0.49891691117982956,-0.5935834151673134
2018-06-13,18.79,18.79,17.98,17.98,300.0,BCM,-2.0015295529650023,-0.023650859776178236,-0.6408490013497917,-1.0993836454531545,-1.502039738328711,-0.3816451427344358,-0.6065534177132982
2018-06-14,18.7,18.7,18.43,18.43,200.0,BCM,-1.7208602559357968,0.5114147500510878,0.2294059041490856,-0.8755932528495323,-1.302858139717403,-0.2590030600054084,-0.6041622676551803
2018-06-15,18.88,18.88,16.18,17.98,32400.0,BCM,-1.9767009415272647,-0.5386206833946441,-0.62574505778753,-0.7665164368797412,-1.0454003682775717,-0.04348748216916608,-0.21482297319578755
2018-06-18,17.98,17.98,17.98,17.98,100.0,BCM,-1.9854052141163765,-0.026697379173747027,-0.3340147015243439,-0.634689357426971,-1.2230949518950218,0.18431443612370052,-0.5794308327566405
2018-06-19,18.16,18.16,17.53,17.53,555.0,BCM,-2.1386148242711824,-0.5350683459418238,-0.31375718018189247,-0.5834646795081776,-1.1859387165417843,0.43433105381133824,-0.551196787858877
2018-06-20,17.08,17.08,17.08,17.08,300.0,BCM,-2.245208401235569,-0.5260984192879475,-0.5979934545298269,-0.5824357253334712,-1.2260275542890506,0.6966767420696657,-0.5353963412702211
2018-06-21,18.16,18.16,17.98,17.98,200.0,BCM,-1.696778923933603,1.2349497735223702,-0.24311201905756202,-0.31424647936724387,-0.6651280926443418,0.7748732980094027,-0.5109833135642114
2018-06-22,17.98,19.51,17.89,19.51,15200.0,BCM,-0.8885622935847078,1.8742483445516078,1.2852016910004351,0.2700001498364165,0.025445679738861762,0.6679555770656479,-0.30129771863170074
2018-06-25,19.6,19.6,19.6,19.6,100.0,BCM,-0.8219450566834755,0.11182917973460003,1.4724404984656652,0.7093509943947134,-0.38763013481080444,0.5504475355715511,-0.5996740873408235
2018-06-26,19.6,19.6,19.6,19.6,0.0,BCM,-0.8023180383365294,0.00947568594646422,1.834393102921716,1.0066126108119275,0.3570148712493506,0.43489499991377994,-0.6682829920088397
2018-06-27,19.24,19.78,19.24,19.78,5100.0,BCM,-0.6891218553688959,0.22544990402981108,2.2966693121730515,1.247846753294845,0.90640359937012,0.3553029952171954,-0.5136477503617465
2018-06-28,18.07,18.07,17.98,17.98,300.0,BCM,-1.5329535319021947,-1.8861347045476318,0.11734776983787341,0.9460305725825239,-0.2821908338594458,0.384168575330259,-0.6211359552530354
2018-06-29,19.42,19.42,17.08,17.08,7200.0,BCM,-1.8924789869483971,-0.9759526398986651,-1.5744402736840157,0.5171730606545271,-0.4108798293039117,0.21604042117132788,-0.4184908504611723
2018-07-02,17.53,17.53,17.53,17.53,100.0,BCM,-1.6079337598344494,0.6388457003280197,-1.2681327586482694,0.3895767813245912,-0.0028624344532642847,0.056815601323117686,-0.585745490339317
2018-07-03,18.7,18.7,16.18,16.18,3200.0,BCM,-2.1434883331176326,-1.5001593689024366,-2.132610762751362,-0.0868898763605518,-0.4413887151360564,0.031632822786955374,-0.5425559091847075
2018-07-04,15.28,15.28,14.2,14.2,46200.0,BCM,-2.823410506088564,-2.2979229374732615,-3.2263808461404446,-1.025513748319077,-1.1091532146741694,0.15352285088546572,1.0314480340916368
2018-07-05,14.29,14.29,13.39,13.39,14500.0,BCM,-2.9195568872979347,-0.9660424180642168,-2.6626680569763663,-1.809961562461857,-1.1883307148279392,0.32474812876205666,-0.09517945812597016
2018-07-06,12.59,13.48,11.6,13.39,222600.0,BCM,-2.70067537639665,0.15808169651115886,-2.077750780988481,-2.1117294330555083,-1.2013230301755302,0.5911248877592176,5.479202637244574
2018-07-09,14.38,14.38,13.48,13.48,6700.0,BCM,-2.487821939125645,0.28632737035931943,-2.1202465672622255,-2.040315273176022,-1.044126061176755,0.7096565698224863,-0.32480151357714165
2018-07-10,13.57,13.57,13.57,13.57,76100.0,BCM,-2.307415929551162,0.2817748784044745,-1.3128103119670291,-1.7452944247688054,-0.8570498666593992,0.8267488737501792,1.634645081232719
2018-07-11,13.48,13.48,11.6,12.59,83101.0,BCM,-2.487022600676691,-1.2384920346453119,-0.7734665045932723,-1.6969679754515656,-1.6268171529004534,1.0614790521461939,1.7649487356404625
2018-07-12,13.03,13.03,13.03,13.03,800.0,BCM,-2.204359646046875,0.8376141458331197,0.15405312903765733,-1.3069595560732836,-2.355078651264663,1.2877582834636574,-0.4744677194327875
2018-07-13,13.03,13.03,13.03,13.03,1300.0,BCM,-2.0908201476466797,0.15888779073464018,0.1568990013941346,-0.8799261512304463,-2.3533742497625534,1.4891002341191037,-0.43844322118902157
2018-07-16,13.48,13.48,13.12,13.12,12400.0,BCM,-1.963859186471175,0.29064588002058683,0.1631028781230972,-0.41468549981541086,-2.2313656932808175,1.5726112257267644,-0.12957863236315295
2018-07-17,13.48,13.48,13.48,13.48,500.0,BCM,-1.7706444662379957,0.6764064396240744,0.3794503884775111,0.14915879359772297,-2.0012954926210273,1.6222351943546358,-0.44772456344186107
2018-07-18,13.48,13.48,13.48,13.48,1300.0,BCM,-1.700313796868171,0.14715959261612346,1.1845693618800204,0.6137638854362873,-1.5839887795391023,1.6447817150181452,-0.41603797213167826
2018-07-19,13.48,13.48,13.48,13.48,28300.0,BCM,-1.6324272646524156,0.13851860987193207,0.7849992449411672,0.9788335406740633,-1.31031771377762,1.642740244211976,0.33777610538295877
2018-07-20,14.38,15.28,14.38,15.19,4800.0,BCM,-1.0694108617648903,2.421513477005371,2.0601498226563346,1.8174062109582207,-0.222777400611483,1.2812155192401509,-0.30942603593194506
2018-07-23,16.18,16.18,14.38,14.38,4000.0,BCM,-1.274826355727162,-0.8657345386202514,1.3083594157536513,2.009137619364401,-0.007059092692512846,0.8179294178440722,-0.3205144024677331
2018-07-24,14.65,14.65,14.65,14.65,0.0,BCM,-1.1531013654880171,0.44429798926497255,1.182756488710012,2.1530994485090145,1.385746655701766,0.3935053429550477,-0.4167758140379484
2018-07-25,15.19,15.64,15.19,15.64,500.0,BCM,-0.8198577468407657,1.3037622111507907,1.8300015972539962,2.44159403482675,2.526626078576366,-0.029620413659014844,-0.396080590983782
2018-07-26,16.09,16.09,13.93,13.93,5110.0,BCM,-1.3109958777953101,-1.7953962150371485,0.6051932753693856,2.0431499849686174,1.1917325293372212,-0.37530231690160215,-0.2696818797505287
2018-07-27,15.64,15.64,15.37,15.37,200.0,BCM,-0.8326882310853816,1.8406315639179034,0.40112042947941223,2.1382354288599155,1.7131214455091257,-0.7040127576470141,-0.4040509738284886
2018-07-30,15.64,15.64,15.64,15.64,100.0,BCM,-0.7214950393655936,0.35797734257022473,1.095187653015821,2.1699217028247975,1.7063955255522725,-1.003345553198596,-0.4008257282817792
2018-07-31,13.48,15.91,13.48,15.91,24400.0,BCM,-0.6100185917681828,0.37829938420052467,1.0555997617222006,2.1561210875959245,2.2380254385551606,-1.0052776262799947,0.3270017029048281
