time,open,high,low,close,volume,symbol,close_norm,return_1d,return_5d,macd,rsi,adx,volume_norm
2014-12-12,30.06,30.06,30.06,30.06,0.0,VHM,-1.180855897845901,-0.03936032041737378,-0.7360242972773549,0.11437987996455216,-0.9971816397658319,-0.8675549004956077,-0.4212673629114688
2014-12-15,30.06,30.06,30.06,30.06,0.0,VHM,-1.18179408181752,-0.043749509503657406,-0.4623691809328235,0.19219765783509202,-0.9971816397658319,-0.8031121621651998,-0.7209210403441718
2014-12-16,30.06,30.06,30.06,30.06,0.0,VHM,-1.182733582355728,-0.043749509503657406,-0.18007152851919267,0.26590937441491974,-0.9971816397658319,-0.7426213774685734,-0.7209210403441718
2014-12-17,30.06,30.06,30.06,30.06,0.0,VHM,-1.1836744029735193,-0.043749509503657406,-0.15248021901137454,0.3324640358077625,-0.9971816397658319,-0.685589851262151,-0.7209210403441718
2014-12-18,30.06,30.06,30.06,30.06,0.0,VHM,-1.180007039509061,-0.008496340316229102,-0.14560261191825133,0.3911876173602281,-0.9646716201070377,-0.6315898895313694,-0.6996844562603058
2014-12-19,30.06,30.06,30.06,30.06,0.0,VHM,-1.176190463209546,-0.007282350189352175,-0.1384356567433327,0.440965872212086,-0.9331574730919779,-0.5802459932493789,-0.6866314265630435
2014-12-22,30.06,30.06,30.06,30.06,0.0,VHM,-1.172395231941986,-0.007282350189352175,-0.13016006954574894,0.48140571833595514,-0.902562072928293,-0.5312247148056828,-0.6737648573135575
2014-12-23,30.06,30.06,30.06,30.06,0.0,VHM,-1.162366454909154,0.04352527673009345,-0.1107134926185209,0.5143376870581088,-0.8726177583020974,-0.4842264696100754,-0.6610769715210791
2014-12-24,30.06,30.06,30.06,30.06,0.0,VHM,-1.1492227507396606,0.06932342992465432,-0.08460129355322357,0.5406275904026908,-0.8434135700611375,-0.43897878425814607,-0.6402015211914022
2014-12-25,30.06,30.06,30.06,30.06,0.0,VHM,-1.1330295549925213,0.09632270029021521,-0.06140891186355767,0.561268465169555,-0.8148797742406771,-0.3952305904427694,-0.6191984198826811
2014-12-26,30.06,30.06,30.06,30.06,0.0,VHM,-1.1139124087130643,0.12476038601876695,-0.030504933950612767,0.5773074880581883,-0.7869466815244375,-0.35274725963101217,-0.5941344948621474
