step,timestamp,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate
16,2026-03-18T10:40:57.744896,0.002176,0.042023,-30.672336,1.1e-05,0.0,0.0003
32,2026-03-18T10:40:58.858789,-0.0001,0.056717,-30.672365,0.0,0.0,0.00015
