step,timestamp,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate
32,2026-03-18T09:30:26.511419,-0.00246,0.28042,-30.672409,0.000139,0.0,0.0003
64,2026-03-18T09:30:27.052185,-0.000313,0.257174,-30.67298,8e-06,0.0,0.00015
