episode,timestamp,total_reward,portfolio_value,total_return_pct,n_trades,total_cost,steps
1,2026-03-18T09:30:26.505262,-0.0008,1041433323.91,4.1433,128,10899993.09,8
2,2026-03-18T09:30:26.505878,-0.0008,949562144.84,-5.0438,128,11053035.16,8
3,2026-03-18T09:30:26.506124,-0.0008,1050503671.17,5.0504,128,10982567.84,8
4,2026-03-18T09:30:26.507414,-0.0008,995180508.3,-0.4819,128,11056158.7,8
5,2026-03-18T09:30:27.051258,-0.0008,1053811658.15,5.3812,128,10306867.85,8
6,2026-03-18T09:30:27.051625,-0.0008,1023340535.07,2.3341,128,11318962.93,8
7,2026-03-18T09:30:27.051831,-0.0008,987643644.97,-1.2356,128,11661340.03,8
8,2026-03-18T09:30:27.052014,-0.0008,1001185615.8,0.1186,128,12690307.2,8
